Date,Description,Amount,Payment_Method,Category
2026-06-01,Nature Basket organic groceries,1950,UPI,Groceries
2026-06-02,Ola cab to railway station,340,UPI,Transport
2026-06-03,Fine dining restaurant dinner,2400,Card,Food
2026-06-04,Electricity bill summer,2890,Net Banking,Bills & Utilities
2026-06-05,Laptop sleeve bag,899,UPI,Shopping
2026-06-06,General physician visit,600,Cash,Healthcare
2026-06-07,Theater play tickets,900,UPI,Entertainment
2026-06-08,University library fine and books,350,UPI,Education
2026-06-09,Flight back home,4200,Card,Travel
2026-06-10,Chai and snacks evening,120,Cash,Food
2026-06-11,Metro monthly pass,900,UPI,Transport
2026-06-12,Water supply bill,400,UPI,Bills & Utilities
2026-06-13,Sunglasses RayBan,3200,Card,Shopping
2026-06-14,Supermarket items,1420,UPI,Groceries
2026-06-15,First aid kit supplies,310,Cash,Healthcare
2026-06-16,Book fair entry & novels,550,Cash,Education
2026-06-17,Cab ride to doctor,230,UPI,Transport
2026-06-18,Biryani party at house,1650,UPI,Food
2026-06-19,Airtel broadband fiber bill,999,Net Banking,Bills & Utilities
2026-06-20,Zara perfume purchase,2200,Card,Shopping
2026-06-21,More Supermarket shopping,1780,UPI,Groceries
2026-06-22,Movie tickets IMAX popcorn,950,UPI,Entertainment
2026-06-23,Hill station road trip petrol,3500,Card,Travel
2026-06-24,Doctor follow up consultation,400,Cash,Healthcare
2026-06-25,Tiffin service monthly charge,3200,UPI,Food
